product_name,category,material,review_num,image_url,rating,size_recommendations,styling_suggestion,unique_product_features,keywords,recommend_indicators
프로스펙스 오리지널 프리드로우 102 PS0US21F022,스니커즈,폴리에스터,481,https://img.danawa.com/prod_img/500000/747/257/img/15257747_1.jpg?shrink=330:*&_v=20210915135533,4.5
나이키 에어맥스 97 921733-001,운동화,인조가죽,460,https://img.danawa.com/prod_img/500000/268/350/img/6350268_1.jpg?shrink=330:*&_v=20220630152523,4.2
행텐 패딩 슬립온 HT-277,캐주얼화,합성섬유+인조가죽,460,https://img.danawa.com/prod_img/500000/824/513/img/18513824_1.jpg?shrink=330:*&_v=20221215150005,4.5
나이키 에어맥스 2017 849559-004,운동화,폴리에스터,386,https://img.danawa.com/prod_img/500000/488/986/img/4986488_1.jpg?shrink=330:*&_v=20220712143133,4.2
마쯔 데일리 컴포트화 LCMF95M111,캐주얼화,인조가죽,370,https://img.danawa.com/prod_img/500000/642/328/img/13328642_1.jpg?shrink=330:*&_v=20210824123937,4.8
뉴발란스 480 런닝화 4E W480KR5,런닝화,폴리에스터,367,https://img.danawa.com/prod_img/500000/737/332/img/13332737_1.jpg?shrink=330:*&_v=20221227151459,4.5
행텐 에스키모 방한화,부츠,PU,352,https://img.danawa.com/prod_img/500000/018/917/img/12917018_1.jpg?shrink=330:*&_v=20221215174230,4.5
나이키 에어맥스 90 LTR CZ5594-001,운동화,"천연가죽,인조가죽",330,https://img.danawa.com/prod_img/500000/022/554/img/17554022_1.jpg?shrink=330:*&_v=20230203125108,3.5
리복 릿지라이더 5.0 GW5319,워킹화,폴리에스터,324,https://img.danawa.com/prod_img/500000/094/650/img/14650094_1.jpg?shrink=330:*&_v=20230424164729,4.8
SNRD 패딩슬리퍼 SN255,슬리퍼,PU,319,https://img.danawa.com/prod_img/500000/438/873/img/9873438_1.jpg?shrink=330:*&_v=20210126131944,3.8
뉴발란스 327 운동화 WS327KC,운동화,"천연가죽,폴리에스터",313,https://img.danawa.com/prod_img/500000/583/381/img/13381583_1.jpg?shrink=330:*&_v=20220916174206,4.2
스케쳐스 온 더 고 조이 부츠 SP0WSCDW092,부츠,천연가죽,305,https://img.danawa.com/prod_img/500000/390/960/img/29960390_1.jpg?shrink=330:*&_v=20231114153618,4.5
팀버랜드 6인치 프리미엄 부츠 10061,워커,천연가죽,303,https://img.danawa.com/prod_img/500000/283/258/img/2258283_1.jpg?shrink=330:*&_v=20230809131407,3.5
아놀드파마 보아시스템 다이얼버튼 따뜻한 털안감 에어운동화,캐주얼화,인조가죽,299,https://img.danawa.com/prod_img/500000/881/639/img/18639881_1.jpg?shrink=330:*&_v=20230102171245,3.5
스케쳐스 고 워크 맥스 SP0MWCDX201,워킹화,폴리에스터,294,https://img.danawa.com/prod_img/500000/304/541/img/18541304_1.jpg?shrink=330:*&_v=20230526140736,4.8
하바이아나스 탑,슬리퍼,고무,285,https://img.danawa.com/prod_img/500000/010/206/img/5206010_1.jpg?shrink=330:*&_v=20230615154831,4.8
스티코 안티슬립 간편화 NEC-03,슬리퍼,EVA,274,https://img.danawa.com/prod_img/500000/431/666/img/2666431_1.jpg?shrink=330:*&_v=20230518140708,4.5
프로스펙스 이지핏 BX 3 PW0UW21F243,워킹화,폴리에스터,274,https://img.danawa.com/prod_img/500000/126/879/img/14879126_1.jpg?shrink=330:*&_v=20210826172451,4.8
노스페이스 뮬 슬립 온 브이모션 NS93N55A,슬립온,인조가죽,272,https://img.danawa.com/prod_img/500000/410/877/img/17877410_1.jpg?shrink=330:*&_v=20230104163619,4.8
쌈지 패딩 퍼 슬립온 XX21,캐주얼화,패브릭,265,https://img.danawa.com/prod_img/500000/822/028/img/13028822_1.jpg?shrink=330:*&_v=20230131155956,4.8
아디다스 아딜렛 컴포트 GY1945,슬리퍼,폴리에스터,264,https://img.danawa.com/prod_img/500000/569/226/img/17226569_1.jpg?shrink=330:*&_v=20220630103450,4.2
락포트 토탈모션 라이트 레이스투토 CH9626,캐주얼화,천연가죽,258,https://img.danawa.com/prod_img/500000/267/401/img/12401267_1.jpg?shrink=330:*&_v=20220602104513,4.8
나이키 버로우 DC1456-002,슬리퍼,인조가죽,242,https://img.danawa.com/prod_img/500000/102/975/img/17975102_1.jpg?shrink=330:*&_v=20230608130732,4.8
